id,smiles,notes,params_json
11683470,CC1=CC=C(C=C1)OC2=C(C=C(C=C2)[N+](=O)[O-])S(=O)(=O)NC(=O)NC3CCCCC3,,
16,C1CCC(=O)NCCCCCC(=O)NCC1,,
48,C(CC(=O)N)C(=O)C(=O)O,,
53,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,,
88,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,,
99,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C,,
111,C(CNC(=O)N)C(=O)O,,
123,C(CC(=O)N)CN=C(N)N,,
128,C1=NC(C(=O)N1)CCC(=O)O,,
131,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O,,
178,CC(=O)N,,
185,CC(=O)NC(CCC(=O)O)C(=O)O,,
203,C(C(=O)O)(NC(=O)N)NC(=O)N,,
204,C1(C(=O)NC(=O)N1)NC(=O)N,,
236,C(C(C(=O)O)N)C(=O)N,,
253,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,,
258,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,,
265,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,,
276,C(=O)(N)[O-],,
277,C(=O)(N)O,,
278,C(=O)(N)OP(=O)(O)O,,
279,C(C(C(=O)O)NC(=O)N)C(=O)O,,
298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],,
314,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,,
317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,,
380,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,,
390,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O,,
397,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,,
400,C1=CC=C(C(=C1)C=O)NC=O,,
401,C1C(C(=O)NO1)N,,
408,CN1C(CCC1=O)C2=CN=CC=C2,,
413,C1CC(=O)NC1C2=CN=CC=C2,,
414,CN1C(CC(C1=O)O)C2=CN=CC=C2,,
435,C1=CC(=CN=C1)C(=O)CCC(=O)N,,
436,CNC(=O)CCC(=O)C1=CN=CC=C1,,
448,C1=CC(=CC(=C1)Cl)C(=O)NCC(=O)O,,
456,C(=O)(C(=O)O)NC(=O)N,,
457,C[N+]1=CC=CC(=C1)C(=O)N,,
464,C1=CC=C(C=C1)C(=O)NCC(=O)O,,
479,CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O,,
496,CC(=O)NCCCNCCCCN,,
499,C1CC(=O)NC1C(=O)O,,
502,C(CCNC(=O)N)CN,,
504,C1C(=O)NC=N1,,
572,C(CN(C=O)O)CP(=O)(O)O,,
581,CC(=O)NC(CS)C(=O)O,,
588,CN1CC(=O)N=C1N,,
593,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,,
596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,,
597,C1=C(NC(=O)N=C1)N,,
624,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,,
